timestamp, relative_time, rr_sincestart, rr
1442410568498, 0, 1036, 1036
1442410569482, 984, 2125, 1089
1442410571523, 3025, 3198, 1073
1442410572504, 4006, 4233, 1035
1442410573522, 5024, 5280, 1047
1442410573522, 5024, 6229, 949
1442410574501, 6003, 7127, 898
1442410576495, 7997, 7425, 298
1442410577611, 9113, 9388, 1963
1442410578674, 10176, 9664, 276
1442410584847, 16349, 15874, 6210
1442410585747, 17249, 16682, 808
1442410585747, 17249, 17520, 838
1442410586743, 18245, 18325, 805
1442410587745, 19247, 19087, 762
1442410588839, 20341, 19843, 756
1442410588839, 20341, 20603, 760
1442410589832, 21334, 21335, 732
1442410590737, 22239, 22056, 721
1442410591735, 23237, 22823, 767
1442410591735, 23237, 23623, 800
1442410592733, 24235, 24363, 740
1442410593730, 25232, 25146, 783
1442410594725, 26227, 25913, 767
1442410594725, 26227, 26585, 672
1442410597813, 29315, 27379, 794
1442410598813, 30315, 28321, 942
1442410602708, 34210, 28809, 488
1442410602708, 34210, 29449, 640
1442410604745, 36247, 31505, 2056
1442410605793, 37295, 32217, 712
1442410605793, 37295, 32697, 480
1442410611777, 43279, 38905, 6208
1442410612683, 44185, 39285, 380
1442410612683, 44185, 39641, 356
1442410615771, 47273, 39992, 351
1442410616766, 48268, 40299, 307
1442410616766, 48268, 40615, 316
1442410629733, 61235, 41233, 618
1442410630730, 62232, 41854, 621
1442410631640, 63142, 42518, 664
1442410631640, 63142, 43217, 699
1442410632725, 64227, 43923, 706
1442410633630, 65132, 44621, 698
1442410633630, 65132, 45319, 698
1442410634628, 66130, 45984, 665
1442410635625, 67127, 46667, 683
1442410635625, 67127, 47330, 663
1442410636622, 68124, 47976, 646
1442410637619, 69121, 48613, 637
1442410637619, 69121, 49256, 643
1442410638618, 70120, 49920, 664
1442410639639, 71141, 50618, 698
1442410639639, 71141, 51321, 703
1442410640610, 72112, 52012, 691
1442410641611, 73113, 52749, 737
1442410641611, 73113, 53481, 732
1442410642701, 74203, 54202, 721
1442410643698, 75200, 54946, 744
1442410644603, 76105, 55722, 776
1442410644603, 76105, 56482, 760
1442410645697, 77199, 57289, 807
1442410646598, 78100, 58068, 779
1442410647771, 79273, 58840, 772
1442410647771, 79273, 59607, 767
1442410648595, 80097, 60319, 712
1442410649590, 81092, 61058, 739
1442410649590, 81092, 61787, 729
1442410650680, 82182, 62486, 699
1442410652084, 83586, 63185, 699
1442410653082, 84584, 63905, 720
1442410658166, 89668, 64589, 684
1442410658166, 89668, 65296, 707
1442410659165, 90667, 66051, 755
1442410660064, 91566, 66810, 759
1442410660064, 91566, 67572, 762
1442410661062, 92564, 68385, 813
1442410662060, 93562, 69115, 730
1442410663054, 94556, 69878, 763
1442410663054, 94556, 70710, 832
1442410664146, 95648, 71453, 743
1442410665052, 96554, 72244, 791
1442410666146, 97648, 73114, 870
1442410667142, 98644, 73974, 860
1442410667142, 98644, 74793, 819
1442410668139, 99641, 75624, 831
1442410669136, 100638, 76467, 843
1442410670038, 101540, 77279, 812
1442410671128, 102630, 78019, 740
1442410671128, 102630, 78764, 745
1442410672125, 103627, 79542, 778
1442410673122, 104624, 80343, 801
1442410674028, 105530, 81221, 878
1442410675122, 106624, 82105, 884
1442410675122, 106624, 82917, 812
1442410676117, 107619, 83681, 764
1442410677026, 108528, 84440, 759
1442410678019, 109521, 85166, 726
1442410678019, 109521, 85882, 716
1442410679016, 110518, 86626, 744
1442410680106, 111608, 87382, 756
1442410681103, 112605, 88147, 765
1442410681103, 112605, 89004, 857
1442410682010, 113512, 89820, 816
1442410683046, 114548, 90604, 784
1442410684004, 115506, 91438, 834
1442410684004, 115506, 92211, 773
1442410685002, 116504, 93012, 801
1442410685998, 117500, 93790, 778
1442410686997, 118499, 94547, 757
1442410687994, 119496, 95336, 789
1442410687994, 119496, 96078, 742
1442410689191, 120693, 96813, 735
1442410690082, 121584, 97589, 776
1442410690082, 121584, 98368, 779
1442410690986, 122488, 99160, 792
1442410691985, 123487, 99950, 790
1442410693070, 124572, 100770, 820
1442410694075, 125577, 101536, 766
1442410694075, 125577, 102350, 814
1442410695069, 126571, 103190, 840
1442410696070, 127572, 104010, 820
1442410696972, 128474, 104958, 948
1442410697969, 129471, 105954, 996
1442410698967, 130469, 106905, 951
1442410700063, 131565, 107932, 1027
1442410700962, 132464, 108939, 1007
1442410702027, 133529, 109954, 1015
1442410702956, 134458, 111039, 1085
1442410704002, 135504, 112128, 1089
1442410704953, 136455, 113210, 1082
1442410705947, 137449, 114359, 1149
1442410706945, 138447, 115396, 1037
1442410708036, 139538, 116419, 1023
1442410709041, 140543, 117361, 942
1442410709939, 141441, 118251, 890
1442410710937, 142439, 119211, 960
1442410711934, 143436, 120121, 910
1442410713027, 144529, 121104, 983
1442410714023, 145525, 122005, 901
1442410714023, 145525, 122905, 900
1442410714931, 146433, 123777, 872
1442410716017, 147519, 124606, 829
1442410717011, 148513, 125473, 867
1442410718014, 149516, 126272, 799
1442410718918, 150420, 127105, 833
1442410718918, 150420, 127949, 844
1442410719915, 151417, 128759, 810
1442410721005, 152507, 129683, 924
1442410721910, 153412, 130546, 863
1442410722908, 154410, 131397, 851
1442410723904, 155406, 132292, 895
1442410723904, 155406, 133222, 930
1442410724902, 156404, 134143, 921
1442410725897, 157399, 134954, 811
1442410726897, 158399, 135817, 863
1442410727905, 159407, 136731, 914
1442410728912, 160414, 137600, 869
1442410729985, 161487, 138527, 927
1442410730981, 162483, 139507, 980
1442410730981, 162483, 140340, 833
1442410731981, 163483, 141288, 948
1442410732882, 164384, 142329, 1041
1442410733972, 165474, 143353, 1024
1442410734975, 166477, 144346, 993
1442410735972, 167474, 145346, 1000
1442410736872, 168374, 146290, 944
1442410737869, 169371, 147263, 973
1442410738952, 170454, 148214, 951
1442410739864, 171366, 149198, 984
1442410740863, 172365, 150181, 983
1442410741861, 173363, 151105, 924
1442410742950, 174452, 152043, 938
1442410743947, 175449, 152985, 942
1442410744854, 176356, 153936, 951
1442410745849, 177351, 154891, 955
1442410745849, 177351, 155772, 881
1442410746852, 178354, 156713, 941
1442410747847, 179349, 157629, 916
1442410748934, 180436, 158504, 875
1442410749839, 181341, 159274, 770
1442410750837, 182339, 160127, 853
1442410751930, 183432, 160965, 838
1442410751930, 183432, 161883, 918
1442410752928, 184430, 162692, 809
1442410753930, 185432, 163531, 839
1442410754923, 186425, 164301, 770
1442410754923, 186425, 165033, 732
1442410755825, 187327, 165770, 737
1442410756915, 188417, 166486, 716
1442410757915, 189417, 167173, 687
1442410757915, 189417, 167852, 679
1442410758908, 190410, 168551, 699
1442410759815, 191317, 169290, 739
1442410759815, 191317, 170029, 739
1442410760811, 192313, 170841, 812
1442410761810, 193312, 171602, 761
1442410762807, 194309, 172355, 753
1442410762807, 194309, 173101, 746
1442410763896, 195398, 173842, 741
1442410764898, 196400, 174580, 738
1442410765891, 197393, 175316, 736
1442410765891, 197393, 176034, 718
1442410766801, 198303, 176780, 746
1442410767889, 199391, 177520, 740
1442410767889, 199391, 178253, 733
1442410768792, 200294, 179019, 766
1442410769789, 201291, 179794, 775
1442410770787, 202289, 180631, 837
1442410771785, 203287, 181552, 921
1442410771785, 203287, 182450, 898
1442410772783, 204285, 183252, 802
1442410773779, 205281, 184078, 826
1442410774869, 206371, 184894, 816
1442410775866, 207368, 185650, 756
1442410775866, 207368, 186401, 751
1442410776955, 208457, 187170, 769
1442410777771, 209273, 188006, 836
1442410778821, 210323, 188842, 836
1442410778821, 210323, 189644, 802
1442410779765, 211267, 190386, 742
1442410780762, 212264, 191164, 778
1442410782353, 213855, 191989, 825
1442410783350, 214852, 192848, 859
1442410783350, 214852, 193735, 887
1442410784348, 215850, 194628, 893
1442410785250, 216752, 195439, 811
1442410786249, 217751, 196261, 822
1442410787246, 218748, 197121, 860
1442410788242, 219744, 198011, 890
1442410788242, 219744, 198860, 849
1442410789240, 220742, 199808, 948
1442410790241, 221743, 200785, 977
1442410791237, 222739, 201767, 982
1442410792236, 223738, 202714, 947
1442410793228, 224730, 203555, 841
1442410794229, 225731, 204413, 858
1442410795317, 226819, 205356, 943
1442410796224, 227726, 206234, 878
1442410797221, 228723, 207128, 894
1442410797221, 228723, 208088, 960
1442410798216, 229718, 209083, 995
1442410799306, 230808, 210072, 989
1442410800308, 231810, 210947, 875
1442410801306, 232808, 211815, 868
1442410802301, 233803, 212746, 931
1442410803204, 234706, 213742, 996
1442410806100, 237602, 214705, 963
1442410806551, 238053, 215542, 837
1442410806551, 238053, 216318, 776
1442410810321, 241823, 217433, 1115
1442410811840, 243342, 218555, 1122
1442410812226, 243728, 219522, 967
1442410812226, 243728, 220371, 849
1442410813314, 244816, 221179, 808
1442410814315, 245817, 222084, 905
1442410815325, 246827, 223148, 1064
1442410816215, 247717, 224200, 1052
1442410817271, 248773, 225230, 1030
1442410818300, 249802, 226209, 979
1442410819207, 250709, 227285, 1076
1442410820205, 251707, 228173, 888
1442410821203, 252705, 229035, 862
1442410822200, 253702, 229887, 852
1442410822200, 253702, 230673, 786
1442410823294, 254796, 231369, 696
1442410827187, 258689, 232483, 1114
1442410828185, 259687, 233586, 1103
1442410829275, 260777, 234593, 1007
1442410830180, 261682, 235552, 959
1442410831270, 262772, 236440, 888
1442410832267, 263769, 237320, 880
1442410833168, 264670, 238178, 858
1442410834169, 265671, 239027, 849
1442410835192, 266694, 239812, 785
1442410835192, 266694, 240609, 797
1442410836259, 267761, 241412, 803
1442410837254, 268756, 242264, 852
1442410838248, 269750, 243109, 845
1442410839156, 270658, 243911, 802
1442410839156, 270658, 244693, 782
1442410840158, 271660, 245479, 786
1442410841160, 272662, 246267, 788
1442410842248, 273750, 247013, 746
1442410842248, 273750, 247825, 812
1442410843165, 274667, 248579, 754
1442410844143, 275645, 249345, 766
1442410845188, 276690, 250139, 794
1442410845188, 276690, 250905, 766
1442410846225, 277727, 251683, 778
1442410847225, 278727, 252484, 801
1442410848149, 279651, 253303, 819
1442410848149, 279651, 254144, 841
1442410849220, 280722, 254962, 818
1442410850215, 281717, 255771, 809
1442410851213, 282715, 256513, 742
1442410851213, 282715, 257230, 717
1442410852209, 283711, 257947, 717
1442410853121, 284623, 258666, 719
1442410854201, 285703, 259426, 760
1442410854201, 285703, 260239, 813
1442410855199, 286701, 260963, 724
1442410856130, 287632, 261713, 750
1442410857132, 288634, 262481, 768
1442410857132, 288634, 263306, 825
1442410858130, 289632, 264100, 794
1442410859124, 290626, 264839, 739
1442410860141, 291643, 265549, 710
1442410860141, 291643, 266287, 738
1442410861113, 292615, 267013, 726
1442410862110, 293612, 267731, 718
1442410862110, 293612, 268425, 694
1442410863114, 294616, 269129, 704
1442410864105, 295607, 269821, 692
1442410864105, 295607, 270538, 717
1442410865103, 296605, 271249, 711
1442410866101, 297603, 271943, 694
1442410866101, 297603, 272604, 661
1442410867099, 298601, 273261, 657
1442410868083, 299585, 273904, 643
1442410868083, 299585, 274555, 651
1442410869122, 300624, 275228, 673
1442410870118, 301620, 275899, 671
1442410870118, 301620, 276596, 697
1442410871102, 302604, 277308, 712
1442410873255, 304757, 278021, 713
1442410873255, 304757, 278736, 715
1442410873337, 304839, 279412, 676
1442410874082, 305584, 280074, 662
1442410874082, 305584, 280768, 694
1442410875077, 306579, 281463, 695
1442410876074, 307576, 282160, 697
1442410877074, 308576, 282874, 714
1442410877074, 308576, 283568, 694
1442410878149, 309651, 284246, 678
1442410878149, 309651, 284915, 669
1442410879114, 310616, 285565, 650
1442410882532, 314034, 286194, 629
1442410882532, 314034, 286813, 619
1442410883270, 314772, 287442, 629
1442410883432, 314934, 288092, 650
1442410883432, 314934, 288746, 654
1442410883542, 315044, 289490, 744
1442410884494, 315996, 290237, 747
1442410884494, 315996, 290961, 724
1442410885491, 316993, 291634, 673
1442410886488, 317990, 292339, 705
1442410886488, 317990, 293049, 710
1442410887573, 319075, 293789, 740
1442410888571, 320073, 294511, 722
1442410888571, 320073, 295171, 660
1442410889572, 321074, 295843, 672
1442410890479, 321981, 296525, 682
1442410891485, 322987, 297245, 720
1442410891485, 322987, 297932, 687
1442410892579, 324081, 298605, 673
1442410893552, 325054, 299302, 697
1442410893552, 325054, 300004, 702
1442410894553, 326055, 300699, 695
1442410895465, 326967, 301363, 664
1442410895465, 326967, 302020, 657
1442410896473, 327975, 302706, 686
1442410897647, 329149, 303389, 683
1442410897647, 329149, 304055, 666
1442410898548, 330050, 304702, 647
1442410898548, 330050, 305355, 653
1442410899564, 331066, 306015, 660
1442410900559, 332061, 306660, 645
1442410900559, 332061, 307326, 666
1442410901550, 333052, 308015, 689
1442410902540, 334042, 308716, 701
1442410902540, 334042, 309409, 693
1442410903540, 335042, 310107, 698
1442410904533, 336035, 310793, 686
1442410904533, 336035, 311480, 687
1442410905551, 337053, 312188, 708
1442410906544, 338046, 312880, 692
1442410906544, 338046, 313558, 678
1442410907547, 339049, 314229, 671
1442410908535, 340037, 314876, 647
1442410908535, 340037, 315509, 633
1442410909533, 341035, 316132, 623
1442410910528, 342030, 316755, 623
1442410910528, 342030, 317370, 615
1442410911530, 343032, 317990, 620
1442410911530, 343032, 318614, 624
1442410913021, 344523, 319227, 613
1442410914019, 345521, 319866, 639
1442410914019, 345521, 320503, 637
1442410915021, 346523, 321138, 635
1442410915021, 346523, 321805, 667
1442410916025, 347527, 322489, 684
1442410917017, 348519, 323211, 722
1442410918019, 349521, 323934, 723
1442410918019, 349521, 324621, 687
1442410919013, 350515, 325258, 637
1442410919013, 350515, 325909, 651
1442410920011, 351513, 326549, 640
1442410921012, 352514, 327205, 656
1442410921012, 352514, 327855, 650
1442410922000, 353502, 328508, 653
1442410923007, 354509, 329136, 628
1442410923007, 354509, 329739, 603
1442410923997, 355499, 330362, 623
1442410923997, 355499, 330977, 615
1442410924998, 356500, 331616, 639
1442410925993, 357495, 332266, 650
1442410925993, 357495, 332887, 621
1442410926999, 358501, 333518, 631
1442410927992, 359494, 334163, 645
1442410927992, 359494, 334861, 698
1442410928981, 360483, 335568, 707
1442410929990, 361492, 336209, 641
1442410929990, 361492, 336870, 661
1442410930975, 362477, 337547, 677
1442410930975, 362477, 338228, 681
1442410931988, 363490, 338892, 664
1442410932982, 364484, 339554, 662
1442410932982, 364484, 340182, 628
1442410933974, 365476, 340825, 643
1442410934970, 366472, 341481, 656
1442410934970, 366472, 342134, 653
1442410935967, 367469, 342812, 678
1442410936966, 368468, 343441, 629
1442410936966, 368468, 344082, 641
1442410937964, 369466, 344743, 661
1442410937964, 369466, 345374, 631
1442410938970, 370472, 345989, 615
1442410939958, 371460, 346640, 651
1442410939958, 371460, 347300, 660
1442410940963, 372465, 347977, 677
1442410941958, 373460, 348661, 684
1442410941958, 373460, 349337, 676
1442410942954, 374456, 349994, 657
1442410943952, 375454, 350651, 657
1442410943952, 375454, 351298, 647
1442410944954, 376456, 351925, 627
1442410944954, 376456, 352557, 632
1442410945943, 377445, 353182, 625
1442410946841, 378343, 353825, 643
1442410946841, 378343, 354465, 640
1442410947833, 379335, 355107, 642
1442410948830, 380332, 355722, 615
1442410948830, 380332, 356340, 618
1442410949827, 381329, 356973, 633
1442410949827, 381329, 357629, 656
1442410950904, 382406, 358284, 655
1442410952323, 383825, 358924, 640
1442410952323, 383825, 359540, 616
1442410952821, 384323, 360148, 608
1442410952821, 384323, 360758, 610
1442410953820, 385322, 361371, 613
1442410954816, 386318, 361987, 616
1442410954816, 386318, 362592, 605
1442410957054, 388556, 363212, 620
1442410957054, 388556, 363846, 634
1442410957584, 389086, 364473, 627
1442410957914, 389416, 365112, 639
1442410957914, 389416, 365750, 638
1442410958383, 389885, 366385, 635
1442410959381, 390883, 367014, 629
1442410959381, 390883, 367616, 602
1442410960379, 391881, 368212, 596
1442410960379, 391881, 368813, 601
1442410961373, 392875, 369434, 621
1442410962373, 393875, 370065, 631
1442410962373, 393875, 370693, 628
1442410963371, 394873, 371353, 660
1442410963371, 394873, 372005, 652
1442410964460, 395962, 372643, 638
1442410965456, 396958, 373304, 661
1442410965456, 396958, 373974, 670
1442410966455, 397957, 374623, 649
1442410967456, 398958, 375265, 642
1442410967456, 398958, 375918, 653
1442410968358, 399860, 376580, 662
1442410969451, 400953, 377250, 670
1442410969451, 400953, 377893, 643
1442410970444, 401946, 378543, 650
1442410970444, 401946, 379196, 653
1442410971350, 402852, 379825, 629
1442410972348, 403850, 380450, 625
1442410972348, 403850, 381096, 646
1442410973345, 404847, 381750, 654
1442410974343, 405845, 382432, 682
1442410974343, 405845, 383123, 691
1442410975344, 406846, 383801, 678
1442410976337, 407839, 384463, 662
1442410976337, 407839, 385090, 627
1442410977395, 408897, 385724, 634
1442410977395, 408897, 386393, 669
1442410978332, 409834, 387038, 645
1442410979330, 410832, 387735, 697
1442410979330, 410832, 388418, 683
1442410980421, 411923, 389094, 676
1442410981325, 412827, 389758, 664
1442410981325, 412827, 390413, 655
1442410982417, 413919, 391063, 650
1442410983412, 414914, 391709, 646
1442410983412, 414914, 392345, 636
1442410984410, 415912, 393006, 661
1442410985407, 416909, 393715, 709
1442410985407, 416909, 394432, 717
1442410986313, 417815, 395129, 697
1442410987401, 418903, 395838, 709
1442410987401, 418903, 396488, 650
1442410988399, 419901, 397138, 650
1442410989401, 420903, 397790, 652
1442410989401, 420903, 398442, 652
1442410990400, 421902, 399073, 631
1442410990400, 421902, 399703, 630
1442410991299, 422801, 400320, 617
1442410992599, 424101, 400936, 616
1442410992599, 424101, 401545, 609
1442410993392, 424894, 402166, 621
1442410993392, 424894, 402791, 625
1442410994386, 425888, 403428, 637
1442410995290, 426792, 404118, 690
1442410995290, 426792, 404832, 714
1442410996379, 427881, 405515, 683
1442410997377, 428879, 406196, 681
1442410997377, 428879, 406881, 685
1442410998392, 429894, 407544, 663
1442410999281, 430783, 408219, 675
1442410999281, 430783, 408882, 663
1442411000333, 431835, 409569, 687
1442411001367, 432869, 410281, 712
1442411001367, 432869, 411033, 752
1442411002273, 433775, 411763, 730
1442411003270, 434772, 412456, 693
1442411004267, 435769, 413168, 712
1442411004267, 435769, 413878, 710
1442411005361, 436863, 414605, 727
1442411006262, 437764, 415341, 736
1442411006262, 437764, 416054, 713
1442411007273, 438775, 416725, 671
1442411008257, 439759, 417405, 680
1442411008257, 439759, 418122, 717
1442411009256, 440758, 418858, 736
1442411010349, 441851, 419565, 707
1442411010349, 441851, 420249, 684
1442411011336, 442838, 420946, 697
1442411012337, 443839, 421648, 702
1442411012337, 443839, 422338, 690
1442411013245, 444747, 423052, 714
1442411014339, 445841, 423786, 734
1442411015335, 446837, 424485, 699
1442411015335, 446837, 425205, 720
1442411016238, 447740, 425932, 727
1442411017234, 448736, 426621, 689
1442411017234, 448736, 427371, 750
1442411018257, 449759, 428122, 751
1442411019322, 450824, 428855, 733
1442411020224, 451726, 429579, 724
1442411020224, 451726, 430265, 686
1442411021227, 452729, 430953, 688
1442411022223, 453725, 431651, 698
1442411022223, 453725, 432358, 707
1442411023218, 454720, 433041, 683
1442411024217, 455719, 433713, 672
1442411024217, 455719, 434401, 688
1442411025310, 456812, 435076, 675
1442411026213, 457715, 435770, 694
1442411026213, 457715, 436490, 720
1442411027217, 458719, 437191, 701
1442411028299, 459801, 437880, 689
1442411028299, 459801, 438608, 728
1442411029297, 460799, 439351, 743
1442411030294, 461796, 440053, 702
1442411030294, 461796, 440760, 707
1442411031296, 462798, 441458, 698
1442411032198, 463700, 442128, 670
1442411032198, 463700, 442834, 706
1442411033200, 464702, 443515, 681
1442411034196, 465698, 444177, 662
1442411034196, 465698, 444892, 715
1442411035190, 466692, 445584, 692
1442411036185, 467687, 446251, 667
1442411037186, 468688, 446979, 728
1442411037186, 468688, 447696, 717
1442411038313, 469815, 448375, 679
1442411039177, 470679, 449085, 710
1442411039177, 470679, 449787, 702
1442411040178, 471680, 450463, 676
1442411041674, 473176, 451159, 696
1442411041674, 473176, 451866, 707
1442411042670, 474172, 452532, 666
1442411043669, 475171, 453204, 672
1442411043669, 475171, 453862, 658
1442411044760, 476262, 454527, 665
1442411045664, 477166, 455194, 667
1442411045664, 477166, 455841, 647
1442411046661, 478163, 456507, 666
1442411046661, 478163, 457162, 655
1442411047659, 479161, 457836, 674
1442411048685, 480187, 458495, 659
1442411048685, 480187, 459165, 670
1442411049655, 481157, 459841, 676
1442411050651, 482153, 460488, 647
1442411050651, 482153, 461189, 701
1442411051649, 483151, 461869, 680
1442411052740, 484242, 462539, 670
1442411052740, 484242, 463247, 708
1442411053644, 485146, 463915, 668
1442411054642, 486144, 464593, 678
1442411054642, 486144, 465297, 704
1442411055639, 487141, 465959, 662
1442411056634, 488136, 466629, 670
1442411056634, 488136, 467319, 690
1442411057634, 489136, 467973, 654
1442411058634, 490136, 468645, 672
1442411058634, 490136, 469348, 703
1442411059721, 491223, 470008, 660
1442411060626, 492128, 470687, 679
1442411060626, 492128, 471379, 692
1442411061624, 493126, 472041, 662
1442411062622, 494124, 472682, 641
1442411062622, 494124, 473347, 665
1442411063711, 495213, 474004, 657
1442411064617, 496119, 474643, 639
1442411064617, 496119, 475277, 634
1442411065615, 497117, 475886, 609
1442411065615, 497117, 476499, 613
1442411066708, 498210, 477140, 641
1442411067610, 499112, 477791, 651
1442411067610, 499112, 478435, 644
1442411068607, 500109, 479108, 673
1442411069602, 501104, 479803, 695
1442411069602, 501104, 480484, 681
1442411070686, 502188, 481141, 657
1442411071600, 503102, 481814, 673
1442411071600, 503102, 482488, 674
1442411072597, 504099, 483159, 671
1442411072597, 504099, 483813, 654
1442411073691, 505193, 484474, 661
1442411074593, 506095, 485152, 678
1442411074593, 506095, 485806, 654
1442411075681, 507183, 486474, 668
1442411076588, 508090, 487168, 694
1442411076588, 508090, 487849, 681
1442411077585, 509087, 488514, 665
1442411078600, 510102, 489209, 695
1442411078600, 510102, 489882, 673
1442411079579, 511081, 490554, 672
1442411080671, 512173, 491250, 696
1442411080671, 512173, 491911, 661
1442411081683, 513185, 492580, 669
1442411082668, 514170, 493257, 677
1442411082668, 514170, 493917, 660
1442411083570, 515072, 494588, 671
1442411084760, 516262, 495295, 707
1442411084760, 516262, 495972, 677
1442411085656, 517158, 496631, 659
1442411086654, 518156, 497328, 697
1442411086654, 518156, 498026, 698
1442411087564, 519066, 498690, 664
1442411088648, 520150, 499373, 683
1442411088648, 520150, 500053, 680
1442411089646, 521148, 500698, 645
1442411090647, 522149, 501352, 654
1442411090647, 522149, 502008, 656
1442411091549, 523051, 502650, 642
1442411091549, 523051, 503267, 617
1442411092547, 524049, 503887, 620
1442411093544, 525046, 504605, 718
1442411093544, 525046, 505312, 707
1442411094542, 526044, 505981, 669
1442411095539, 527041, 506688, 707
1442411095539, 527041, 507387, 699
1442411096537, 528039, 508076, 689
1442411097534, 529036, 508792, 716
1442411098531, 530033, 509530, 738
1442411098531, 530033, 510248, 718
1442411099529, 531031, 510915, 667
1442411100524, 532026, 511607, 692
1442411100524, 532026, 512267, 660
1442411101522, 533024, 512899, 632
1442411101522, 533024, 513549, 650
1442411102619, 534121, 514194, 645
1442411103529, 535031, 514817, 623
1442411103529, 535031, 515466, 649
1442411104609, 536111, 516139, 673
1442411105521, 537023, 516842, 703
1442411105521, 537023, 517543, 701
1442411106572, 538074, 518214, 671
1442411107602, 539104, 518889, 675
1442411107602, 539104, 519536, 647
1442411108604, 540106, 520210, 674
1442411109596, 541098, 520905, 695
1442411109596, 541098, 521626, 721
1442411110502, 542004, 522313, 687
1442411111592, 543094, 522963, 650
1442411111592, 543094, 523578, 615
1442411112495, 543997, 524199, 621
1442411112495, 543997, 524835, 636
1442411113494, 544996, 525502, 667
1442411114493, 545995, 526196, 694
1442411114493, 545995, 526878, 682
1442411115490, 546992, 527552, 674
1442411116579, 548081, 528224, 672
1442411116579, 548081, 528912, 688
1442411117580, 549082, 529578, 666
1442411118575, 550077, 530206, 628
1442411118575, 550077, 530851, 645
1442411119575, 551077, 531511, 660
1442411120568, 552070, 532179, 668
1442411120568, 552070, 532825, 646
1442411121571, 553073, 533481, 656
1442411122473, 553975, 534149, 668
1442411122473, 553975, 534808, 659
1442411123469, 554971, 535465, 657
1442411123469, 554971, 536133, 668
1442411124497, 555999, 536807, 674
1442411125556, 557058, 537442, 635
1442411125556, 557058, 538098, 656
1442411126463, 557965, 538752, 654
1442411127455, 558957, 539402, 650
1442411127455, 558957, 540031, 629
1442411128458, 559960, 540667, 636
1442411129454, 560956, 541317, 650
1442411129454, 560956, 541994, 677
1442411130548, 562050, 542663, 669
1442411130548, 562050, 543316, 653
1442411131542, 563044, 543984, 668
1442411132448, 563950, 544641, 657
1442411132448, 563950, 545319, 678
1442411133458, 564960, 545994, 675
1442411134538, 566040, 546668, 674
1442411134538, 566040, 547355, 687
1442411135536, 567038, 548013, 658
1442411136528, 568030, 548648, 635
1442411136528, 568030, 549291, 643
1442411137436, 568938, 549920, 629
1442411138524, 570026, 550560, 640
1442411138524, 570026, 551250, 690
1442411139526, 571028, 551941, 691
1442411140519, 572021, 552620, 679
1442411140519, 572021, 553267, 647
1442411141520, 573022, 553927, 660
1442411141520, 573022, 554578, 651
1442411142519, 574021, 555238, 660
1442411143420, 574922, 555913, 675
1442411143420, 574922, 556583, 670
1442411144426, 575928, 557277, 694
1442411145511, 577013, 557965, 688
1442411145511, 577013, 558669, 704
1442411146409, 577911, 559329, 660
1442411147585, 579087, 559964, 635
1442411147585, 579087, 560602, 638
1442411148409, 579911, 561241, 639
1442411149406, 580908, 561867, 626
1442411149406, 580908, 562471, 604
1442411150400, 581902, 563095, 624
1442411150400, 581902, 563740, 645
1442411151886, 583388, 564360, 620
1442411154365, 585867, 564968, 608
1442411154365, 585867, 565589, 621
1442411154915, 586417, 566230, 641
1442411154915, 586417, 566909, 679
1442411155049, 586551, 567540, 631
1442411155557, 587059, 568193, 653
1442411155557, 587059, 568838, 645
1442411156553, 588055, 569495, 657
1442411160271, 591773, 570163, 668
1442411160271, 591773, 570852, 689
1442411161089, 592591, 571526, 674
1442411164057, 595559, 572160, 634
1442411164057, 595559, 572807, 647
1442411164408, 595910, 573445, 638
1442411165145, 596647, 574106, 661
1442411165145, 596647, 574775, 669
1442411165288, 596790, 575414, 639
1442411165288, 596790, 576030, 616
1442411168776, 600278, 576661, 631
1442411168955, 600457, 577315, 654
1442411168955, 600457, 577976, 661
1442411169436, 600938, 578606, 630
1442411169779, 601281, 579305, 699
1442411169779, 601281, 580024, 719
1442411171169, 602671, 580735, 711
1442411171474, 602976, 581407, 672
1442411171474, 602976, 582101, 694
1442411171741, 603243, 582768, 667
1442411172015, 603517, 583415, 647
1442411172015, 603517, 584095, 680
1442411172313, 603815, 584793, 698
1442411174889, 606391, 585522, 729
1442411174889, 606391, 586230, 708
1442411175695, 607197, 586890, 660
1442411175840, 607342, 587554, 664
1442411175840, 607342, 588202, 648
1442411176083, 607585, 588853, 651
1442411177082, 608584, 589491, 638
1442411177082, 608584, 590141, 650
1442411178077, 609579, 590823, 682
1442411178077, 609579, 591493, 670
1442411179076, 610578, 592199, 706
1442411180293, 611795, 592922, 723
1442411182324, 613826, 593623, 701
1442411182324, 613826, 594329, 706
1442411182855, 614357, 595018, 689
1442411182993, 614495, 595743, 725
1442411182993, 614495, 596400, 657
1442411183734, 615236, 597066, 666
1442411184733, 616235, 597740, 674
1442411184733, 616235, 598425, 685
1442411185732, 617234, 599114, 689
1442411186827, 618329, 599835, 721
1442411186827, 618329, 600507, 672
1442411187824, 619326, 601185, 678
1442411188823, 620325, 601888, 703
1442411188823, 620325, 602534, 646
1442411189719, 621221, 603206, 672
1442411190720, 622222, 603891, 685
1442411190720, 622222, 604550, 659
1442411191716, 623218, 605217, 667
1442411192713, 624215, 605932, 715
1442411192713, 624215, 606676, 744
1442411193709, 625211, 607398, 722
1442411194706, 626208, 608161, 763
